iter	Passed	Remaining
472	667	743
473	668	741
474	669	739
475	670	737
476	670	735
477	671	733
478	672	731
479	673	729
480	673	727
481	674	724
482	675	722
483	676	720
484	676	718
485	677	716
486	678	714
487	679	712
488	679	710
489	681	708
490	682	707
491	683	705
492	683	703
493	684	701
494	685	699
495	686	697
496	687	695
497	688	693
498	689	691
499	689	689
500	690	687
501	691	685
502	692	684
503	693	682
504	693	680
505	694	678
506	695	676
507	697	675
508	698	673
509	699	672
510	700	670
511	701	668
512	702	666
513	703	665
514	704	663
515	705	661
516	705	659
517	706	657
518	707	655
519	708	653
520	709	652
521	711	651
522	712	650
523	714	648
524	715	647
525	716	645
526	717	643
527	718	641
528	718	640
529	719	638
530	720	636
531	721	634
532	722	632
533	723	631
534	724	629
535	725	628
536	726	626
537	727	624
538	728	623
539	729	621
540	730	619
541	731	618
542	732	616
543	733	614
544	734	613
545	735	611
546	736	609
547	736	607
548	737	606
549	738	604
550	739	602
551	741	601
552	742	600
553	743	598
554	744	596
555	744	594
556	745	593
557	746	591
558	747	589
559	748	587
560	749	586
561	749	584
562	750	582
563	751	580
564	752	579
565	753	577
566	756	577
567	758	576
568	760	575
569	761	574
570	762	572
571	763	571
572	764	569
573	765	567
574	766	566
575	767	564
576	768	563
577	769	562
578	774	563
579	776	562
580	779	561
581	780	560
582	781	559
583	783	558
584	785	556
585	787	556
586	789	555
587	791	554
588	793	553
589	795	552
590	796	551
591	799	550
592	800	549
593	804	549
594	807	549
595	808	548
596	810	546
597	812	546
598	813	544
599	814	543
600	818	543
601	820	542
602	821	540
603	822	539
604	824	538
605	825	536
606	827	535
607	828	534
608	829	532
609	831	531
610	834	531
611	835	529
612	837	528
613	838	526
614	840	525
615	841	524
616	842	523
617	843	521
618	846	520
619	848	519
620	849	518
621	850	517
622	852	515
623	853	514
624	854	512
625	856	511
626	857	510
627	858	508
628	860	507
629	862	506
630	863	505
631	865	504
632	867	502
633	868	501
634	870	500
635	872	499
636	873	497
637	875	496
638	877	495
639	878	494
640	879	492
641	881	491
642	881	489
643	882	488
644	883	486
645	884	484
646	885	483
647	886	481
648	887	479
649	887	478
650	888	476
651	890	475
652	892	474
653	895	473
654	897	472
655	898	471
656	899	469
657	901	468
658	902	466
659	903	465
660	904	463
661	908	463
662	909	462
663	910	460
664	911	459
665	912	457
666	913	456
667	914	454
668	916	453
669	917	451
670	918	450
671	919	448
672	923	448
673	924	447
674	926	446
675	927	444
676	929	443
677	930	441
678	931	440
679	933	439
680	934	437
681	936	436
682	937	435
683	938	433
684	939	432
685	940	430
686	942	429
687	943	427
688	943	426
689	944	424
690	945	422
691	946	421
692	947	419
693	947	417
694	948	416
695	950	415
696	952	413
697	953	412
698	954	411
699	955	409
700	956	408
701	958	406
702	958	405
703	959	403
704	960	401
705	961	400
706	962	398
707	963	397
708	964	396
709	967	395
710	968	393
711	969	392
712	970	390
713	971	389
714	972	387
715	973	386
716	974	384
717	975	383
718	976	381
719	977	380
720	978	378
721	979	377
722	980	375
723	982	374
724	983	373
725	985	371
726	986	370
727	987	368
728	987	367
729	988	365
730	989	364
731	990	362
732	991	361
733	992	359
734	993	358
735	994	356
736	997	355
737	998	354
738	999	353
739	1000	351
740	1001	350
741	1002	348
742	1003	347
743	1004	345
744	1005	344
745	1006	342
746	1007	341
747	1008	339
748	1009	338
749	1010	336
750	1013	336
751	1014	334
752	1016	333
753	1016	331
754	1017	330
755	1018	328
756	1019	327
757	1020	325
758	1021	324
759	1022	322
760	1023	321
761	1024	319
762	1027	319
763	1028	317
764	1030	316
765	1031	314
766	1032	313
767	1032	312
768	1033	310
769	1034	309
770	1035	307
771	1036	306
772	1037	304
773	1038	303
774	1039	301
775	1040	300
776	1041	298
777	1043	297
778	1043	296
779	1044	294
780	1045	293
781	1046	291
782	1046	290
783	1047	288
784	1048	287
785	1049	285
786	1050	284
787	1051	282
788	1051	281
789	1052	279
790	1053	278
791	1054	276
792	1055	275
793	1056	274
794	1058	272
795	1059	271
796	1060	270
797	1061	268
798	1061	267
799	1062	265
800	1063	264
801	1064	262
802	1065	261
803	1066	259
804	1067	258
805	1067	257
806	1068	255
807	1069	254
808	1070	252
809	1072	251
810	1073	250
811	1074	248
812	1075	247
813	1076	245
814	1076	244
815	1078	243
816	1079	241
817	1080	240
818	1080	238
819	1081	237
820	1082	236
821	1083	234
822	1084	233
823	1086	232
824	1088	230
825	1088	229
826	1089	227
827	1090	226
828	1091	225
829	1092	223
830	1093	222
831	1093	220
832	1094	219
833	1095	218
834	1096	216
835	1097	215
836	1097	213
837	1098	212
838	1099	211
839	1100	209
840	1102	208
841	1103	206
842	1104	205
843	1105	204
844	1106	202
845	1107	201
846	1108	200
847	1109	198
848	1109	197
849	1110	195
850	1111	194
851	1112	193
852	1113	191
853	1113	190
854	1114	189
855	1115	187
856	1117	186
857	1117	185
858	1118	183
859	1119	182
860	1120	180
861	1121	179
862	1122	178
863	1123	176
864	1124	175
865	1125	174
866	1125	172
867	1126	171
868	1127	169
869	1128	168
870	1129	167
871	1130	165
872	1131	164
873	1132	163
874	1133	161
875	1134	160
876	1135	159
877	1135	157
878	1136	156
879	1137	155
880	1138	153
881	1139	152
882	1140	151
883	1140	149
884	1141	148
885	1142	147
886	1143	145
887	1144	144
888	1145	143
889	1147	141
890	1148	140
891	1149	139
892	1150	137
893	1151	136
894	1152	135
895	1152	133
896	1153	132
897	1154	131
898	1155	129
899	1156	128
900	1157	127
901	1157	125
902	1158	124
903	1159	123
904	1162	122
905	1163	120
906	1165	119
907	1166	118
908	1167	116
909	1168	115
910	1169	114
911	1171	113
912	1172	111
913	1173	110
914	1174	109
915	1178	108
916	1180	106
917	1182	105
918	1184	104
919	1185	103
920	1189	102
921	1191	100
922	1193	99
923	1195	98
924	1197	97
925	1199	95
926	1201	94
927	1203	93
928	1208	92
929	1209	91
930	1211	89
931	1212	88
932	1214	87
933	1216	85
934	1218	84
935	1219	83
936	1221	82
937	1224	80
938	1228	79
939	1230	78
940	1233	77
941	1238	76
942	1240	74
943	1241	73
944	1244	72
945	1247	71
946	1249	69
947	1251	68
948	1254	67
949	1256	66
950	1259	64
951	1261	63
952	1264	62
953	1265	61
954	1270	59
955	1276	58
956	1279	57
957	1285	56
958	1291	55
959	1295	53
960	1305	52
961	1306	51
962	1310	50
963	1321	49
964	1322	47
965	1324	46
966	1326	45
967	1328	43
968	1330	42
969	1332	41
970	1336	39
971	1339	38
972	1341	37
973	1343	35
974	1345	34
975	1348	33
976	1365	32
977	1370	30
978	1372	29
979	1376	28
980	1380	26
981	1386	25
982	1389	24
983	1393	22
984	1394	21
985	1396	19
986	1397	18
987	1398	16
988	1399	15
989	1401	14
990	1403	12
991	1404	11
992	1408	9
993	1409	8
994	1410	7
995	1412	5
996	1413	4
997	1415	2
998	1416	1
999	1418	0
